index,category,subcategory,premise,knowledge,question,question_text,options,value_answer,option_answer,author,GPT3Pred,TotalRes,Matches,GPT3Pred2List,ProbableFPLenth,FalsePositives
556,attribute_comparison,entropy_and_pressure,Tyler is studying the entropy of a system with altering pressure. The pressure of the system when entropy of the system is low is 25 Pa,The entropy of a system decreases with an increase in pressure.,"{'question_text': 'What could be the pressure of the system when entropy is high?', 'options': [{'A': 21}, {'B': 28}, {'C': 20}, {'D': 24}, {'E': 'None'}], 'value_answer': [21, 20, 24], 'option_answer': ['A', 'C', 'D'], 'other': {'given_value': 25, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the pressure of the system when entropy is high?,"[{'A': 21}, {'B': 28}, {'C': 20}, {'D': 24}, {'E': 'None'}]","['21', '20', '24']","['A', 'C', 'D']",Yamini,"[28, 24]",3,1,"['28', '24']",2,-1
1277,non_numerical,swim_animal,Graham was learning about animal evolution and was trying to figure out how different land animals have special characteristics like swimming or increased height. He saw that a particular animal cannot swim at all and had a particularly long neck.,"Camels, giraffes, porcupines, rhinos can't swim. Camels and giraffes are not exposed to such deep water during their lifetime due to their height and hence their physical adaptations were mainly focused on rest.","{'question_text': 'What could be the animal?', 'options': [{'A': 'crocodile'}, {'B': 'camel'}, {'C': 'rhino'}, {'D': 'giraffe'}], 'value_answer': ['crocodile'], 'option_answer': ['A'], 'other': {}}",What could be the animal?,"[{'A': 'crocodile'}, {'B': 'camel'}, {'C': 'rhino'}, {'D': 'giraffe'}]","[""'crocodile'""]",['A'],Yamini,"[camel, giraffe]",1,0,"['camel', 'giraffe']",2,1
579,attribute_comparison,humidity_and_temperature,Calvin was giving his physics exam and was aksed relative humidity at two different temperature. It was given in the question that the relative humidity at lower temperature is 54 units.,Relative humidity is inversely proportional to temperature.,"{'question_text': 'What could be the relative humidity at the other temperature?', 'options': [{'A': 54}, {'B': 58}, {'C': 45}, {'D': 50}], 'value_answer': [45, 50], 'option_answer': ['C', 'D'], 'other': {'given_value': 54, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the relative humidity at the other temperature?,"[{'A': 54}, {'B': 58}, {'C': 45}, {'D': 50}]","['45', '50']","['C', 'D']",Yamini,"[54, 58, 45, 50]",2,2,"['54', '58', '45', '50']",4,2
484,attribute_comparison,flow_rate_and_volume,Eric is filling his two water tank. Each tank is being filled by two identical pipes. The water tank that is filled less is being filled by a pipe with flow rate of 45 units.,Volume filled is directly proportional to flow rate,"{'question_text': 'What could be the flow rate of other pipe ?', 'options': [{'A': 43}, {'B': 47}, {'C': 46}, {'D': 42}, {'E': 'None'}], 'value_answer': [47, 46], 'option_answer': ['B', 'C'], 'other': {'given_value': 45, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",What could be the flow rate of other pipe ?,"[{'A': 43}, {'B': 47}, {'C': 46}, {'D': 42}, {'E': 'None'}]","['47', '46']","['B', 'C']",Saurabh,"[47, 46]",2,2,"['47', '46']",2,0
1459,non_numerical,cannibalism_animals,Cole maintains a zoo where he did not feed the animals for some days and figured out that the parent animal ate some.,Animals like a polar bear that eat their kind is an example of cannibalism.,"{'question_text': 'What could be the animals?', 'options': [{'A': 'polar bears'}, {'B': 'chickens'}, {'C': 'dogs'}, {'D': 'horse'}], 'value_answer': ['polar bears', 'chickens'], 'option_answer': ['A', 'B'], 'other': {}}",What could be the animals?,"[{'A': 'polar bears'}, {'B': 'chickens'}, {'C': 'dogs'}, {'D': 'horse'}]","[""'polar bears'"", ""'chickens'""]","['A', 'B']",Sivapriya,[polar bears],2,0,['polar bears'],1,-1
324,attribute_comparison,momentum_and_velocity,Anthony's experiment is to observe the relationship between the momentum and speed for two objects that move with different speed.The objects are identical in nature. The quicker object has a momentum of 792 units.,Momentum is directly proportional to velocity.,"{'question_text': 'What could be momentum of the faster object?', 'options': [{'A': 799}, {'B': 791}, {'C': 795}, {'D': 796}], 'value_answer': [799, 795, 796], 'option_answer': ['A', 'C', 'D'], 'other': {'given_value': 792, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",What could be momentum of the faster object?,"[{'A': 799}, {'B': 791}, {'C': 795}, {'D': 796}]","['799', '795', '796']","['A', 'C', 'D']",Himanshu,"[799, 795]",3,2,"['799', '795']",2,-1
1244,non_numerical,building_material,The binder is the primary ingredient for the construction of the any building or RCC structure.,"Cement is mainly used as a binder in concrete, which is a basic material for all types of construction, including housing, roads, schools, hospitals, dams and ports, ","{'question_text': 'What could be the ingredient?', 'options': [{'A': 'cement'}, {'B': 'hydrogen'}, {'C': 'oxygen'}, {'D': 'neon'}], 'value_answer': ['cement'], 'option_answer': ['A'], 'other': {}}",What could be the ingredient?,"[{'A': 'cement'}, {'B': 'hydrogen'}, {'C': 'oxygen'}, {'D': 'neon'}]","[""'cement'""]",['A'],Yamini,A,1,1,['A'],1,0
1030,implicit_numerical_knowledge,continents,Maxwell and his wife are Asian. They travel to all the other continents every year. It has been at least 4 years since they started traveling.,There are 7 continents in the world,"{'question_text': 'How many trips in total Maxwell could have made?', 'options': [{'A': 17}, {'B': 27}, {'C': 30}, {'D': 16}, {'E': 'None'}], 'value_answer': [27, 30], 'option_answer': ['B', 'C'], 'other': {'given_value': 24, 'more_is_correct_flag': True, 'equal_is_correct_flag': True}}",How many trips in total Maxwell could have made?,"[{'A': 17}, {'B': 27}, {'C': 30}, {'D': 16}, {'E': 'None'}]","['27', '30']","['B', 'C']",Neeraj,[30],2,1,['30'],1,-1
341,attribute_comparison,ball_time_height,"There are two identical balls, each has been dropped from a certain height. A ball which took less time to hit the ground is dropped from a height 17 meters.",Time taken by the ball to hit the ground is directly proportional to the height from which the ball is dropped.,"{'question_text': 'What could be the height from which the other ball could have been dropped?', 'options': [{'A': 20}, {'B': 21}, {'C': 16}, {'D': 15}], 'value_answer': [20, 21], 'option_answer': ['A', 'B'], 'other': {'given_value': 17, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",What could be the height from which the other ball could have been dropped?,"[{'A': 20}, {'B': 21}, {'C': 16}, {'D': 15}]","['20', '21']","['A', 'B']",Saurabh,"[21, 16]",2,1,"['21', '16']",2,0
823,attribute_comparison,solenoid_coils,"Brandon was trying to generate a magnetic field using the solenoid. Initially, he made 31 number of turns of the coil. Later he changed the number of turns of the coil and observed that the magnetic field strength generated got increased.",The strength of the magnetic field around a solenoid is directly proportional to the number of turns on the coil.,"{'question_text': 'What could be the number of turns of the coil in the second case?', 'options': [{'A': 26}, {'B': 33}, {'C': 30}, {'D': 27}, {'E': 'None'}], 'value_answer': [33], 'option_answer': ['B'], 'other': {'given_value': 31, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",What could be the number of turns of the coil in the second case?,"[{'A': 26}, {'B': 33}, {'C': 30}, {'D': 27}, {'E': 'None'}]",['33'],['B'],Sivapriya,[33],1,1,['33'],1,0
1231,non_numerical,traffic_sense,"When Leonardo reached a signal on his way to meet his friend, he saw the signal was red.","Vehicle should start at green light, halt at red lights, and slow down at yellow lights.","{'question_text': 'Since the color of the signal changed to red, what should the driver do?', 'options': [{'A': 'Halt'}, {'B': 'Move'}, {'C': 'Sleep'}, {'D': 'Drive'}], 'value_answer': ['Halt'], 'option_answer': ['A'], 'other': {}}","Since the color of the signal changed to red, what should the driver do?","[{'A': 'Halt'}, {'B': 'Move'}, {'C': 'Sleep'}, {'D': 'Drive'}]","[""'Halt'""]",['A'],Kevin,"[A, B]",1,1,"['A', 'B']",2,1
1245,non_numerical,building_material,The binder is the primary ingredient for the construction of the any building or RCC structure.,"Cement is mainly used as a binder in concrete, which is a basic material for all types of construction, including housing, roads, schools, hospitals, dams and ports, ","{'question_text': 'What could be the ingredient?', 'options': [{'A': 'cement'}, {'B': 'hydrogen'}, {'C': 'oxygen'}, {'D': 'neon'}], 'value_answer': ['cement'], 'option_answer': ['A'], 'other': {}}",What could be the ingredient?,"[{'A': 'cement'}, {'B': 'hydrogen'}, {'C': 'oxygen'}, {'D': 'neon'}]","[""'cement'""]",['A'],Yamini,A,1,1,['A'],1,0
745,attribute_comparison,airthmetic_mean_and_geometric_mean,Nathan was finding the geometric mean and arithmetic mean of a series in his exercise. The geometric mean is 78.,Arithmetic mean is greater than or equal to Geometric mean.,"{'question_text': 'What could be the arithmetic mean of the series?', 'options': [{'A': 75}, {'B': 85}, {'C': 71}, {'D': 68}], 'value_answer': [85], 'option_answer': ['B'], 'other': {'given_value': 78, 'more_is_correct_flag': True, 'equal_is_correct_flag': True}}",What could be the arithmetic mean of the series?,"[{'A': 75}, {'B': 85}, {'C': 71}, {'D': 68}]",['85'],['B'],Sivapriya,[85],1,1,['85'],1,0
1115,implicit_numerical_knowledge,dozen,Edward is preparing dinner. He has a dozen of eggs and he cracked some eggs to prepare food.,A dozen has 12 items,"{'question_text': 'How many eggs does Edward have such that it is not cracked?.', 'options': [{'A': 14}, {'B': 12}, {'C': 13}, {'D': 10}, {'E': 'None'}], 'value_answer': [10], 'option_answer': ['D'], 'other': {'given_value': 12, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",How many eggs does Edward have such that it is not cracked?.,"[{'A': 14}, {'B': 12}, {'C': 13}, {'D': 10}, {'E': 'None'}]",['10'],['D'],Saurabh,"[12, 10]",1,1,"['12', '10']",2,1
549,attribute_comparison,elongation_and_tensile_strength,William had two iron bars of different lengths. The tensile strewngth of the metal with more elongation was 47 units.,Elongation is inversely proportional to the tensile strength.,"{'question_text': 'What could be the tensile strength of the other metal?', 'options': [{'A': 48}, {'B': 49}, {'C': 42}, {'D': 50}, {'E': 'None'}], 'value_answer': [48, 49, 50], 'option_answer': ['A', 'B', 'D'], 'other': {'given_value': 47, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",What could be the tensile strength of the other metal?,"[{'A': 48}, {'B': 49}, {'C': 42}, {'D': 50}, {'E': 'None'}]","['48', '49', '50']","['A', 'B', 'D']",Yamini,"[48, 49, 42, 50]",3,3,"['48', '49', '42', '50']",4,1
661,attribute_comparison,amount_of_food_2,Noah invited guests on two consecutive days. On both days he cooked same amount of food but the food on first day was sufficient but on 2nd day it was not. The number of people came on the second day was 32.,Amount of food required to feed is directly proportional to the number of people.,"{'question_text': 'What could be the number of people came on the first day?', 'options': [{'A': 31}, {'B': 35}, {'C': 33}, {'D': 29}, {'E': 'None'}], 'value_answer': [35, 33], 'option_answer': ['B', 'C'], 'other': {'given_value': 32, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",What could be the number of people came on the first day?,"[{'A': 31}, {'B': 35}, {'C': 33}, {'D': 29}, {'E': 'None'}]","['35', '33']","['B', 'C']",Sidharth,"[31, 35, 33, 29]",2,2,"['31', '35', '33', '29']",4,2
801,attribute_comparison,potential_energy_and_spring,Two similar springs of same length were subjected to different forces and the potential energy developed in the first spring is more than the second spring. The change in the length of the first spring is 24 meters.,Elastic potential energy is directly proportional to the square of the change in length and the spring constant.,"{'question_text': 'What could be the change in the length for the second spring?', 'options': [{'A': 21}, {'B': 20}, {'C': 23}, {'D': 25}, {'E': 'None'}], 'value_answer': [21, 20, 23], 'option_answer': ['A', 'B', 'C'], 'other': {'given_value': 24, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the change in the length for the second spring?,"[{'A': 21}, {'B': 20}, {'C': 23}, {'D': 25}, {'E': 'None'}]","['21', '20', '23']","['A', 'B', 'C']",Sivapriya,"[21, 20]",3,2,"['21', '20']",2,-1
1114,implicit_numerical_knowledge,dozen,Hudson bought a dozen of eggs and unfortunately some of the eggs are cracked.,A dozen has 12 items,"{'question_text': 'How many eggs does Hudson have such that it is not cracked?.', 'options': [{'A': 11}, {'B': 12}, {'C': 14}, {'D': 13}], 'value_answer': [11], 'option_answer': ['A'], 'other': {'given_value': 12, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",How many eggs does Hudson have such that it is not cracked?.,"[{'A': 11}, {'B': 12}, {'C': 14}, {'D': 13}]",['11'],['A'],Saurabh,"[11, 12, 13]",1,1,"['11', '12', '13']",3,2
584,attribute_comparison,pitch_and_amplitude,Joshua is working in an auditorium and is testing the pitch of sound at two different frequencies. The frequency of sound when pitch is higher is 43 Hertz.,The pitch of the sound is directly proportional to the frequency of the sound.,"{'question_text': 'What could be the frequency of the other sound?', 'options': [{'A': 51}, {'B': 47}, {'C': 37}, {'D': 35}, {'E': 'None'}], 'value_answer': [37, 35], 'option_answer': ['C', 'D'], 'other': {'given_value': 43, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the frequency of the other sound?,"[{'A': 51}, {'B': 47}, {'C': 37}, {'D': 35}, {'E': 'None'}]","['37', '35']","['C', 'D']",Yamini,"[51, 47]",2,0,"['51', '47']",2,0
250,attribute_comparison,subset_vs_set,There are 149 balls in the bag. Some balls are red and some are blue.,A subset can not be bigger than the set.,"{'question_text': 'How many red balls could be in the bag?', 'options': [{'A': 146}, {'B': 152}, {'C': 151}, {'D': 153}, {'E': 'None'}], 'value_answer': [146], 'option_answer': ['A'], 'other': {'given_value': 149, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",How many red balls could be in the bag?,"[{'A': 146}, {'B': 152}, {'C': 151}, {'D': 153}, {'E': 'None'}]",['146'],['A'],Kevin,"[146, 152]",1,1,"['146', '152']",2,1
58,attribute_comparison,direct_comparison,Leon has two cans. The first can is lighter than the second can. The weight of second can is 49 units.,More weight implies an object is heavier,"{'question_text': 'What could be the weight of the first can?', 'options': [{'A': 44}, {'B': 51}, {'C': 49}, {'D': 45}], 'value_answer': [44, 45], 'option_answer': ['A', 'D'], 'other': {'given_value': 49, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the weight of the first can?,"[{'A': 44}, {'B': 51}, {'C': 49}, {'D': 45}]","['44', '45']","['A', 'D']",Neeraj,"[44, 45]",2,2,"['44', '45']",2,0
615,attribute_comparison,solubility_and_solid,Two student were dehydrated in Leon's class. Leon gave the students a solution with salt dissolved in water at two different temperatures. The solubility in solution at higher temperature is 14 units.,The solubility of a solid in water increases with an increase in temperature.,"{'question_text': 'What could be the solubility in other solution?', 'options': [{'A': 9}, {'B': 10}, {'C': 16}, {'D': 14}, {'E': 'None'}], 'value_answer': [9, 10], 'option_answer': ['A', 'B'], 'other': {'given_value': 14, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the solubility in other solution?,"[{'A': 9}, {'B': 10}, {'C': 16}, {'D': 14}, {'E': 'None'}]","['9', '10']","['A', 'B']",Yamini,"[9, 10, 16]",2,2,"['9', '10', '16']",3,1
544,attribute_comparison,effusion_and_velocity,Jaxon brought a balloon from a birthday party and observed loss of gas inside a balloon over time. So he wants to understand the reason behind this effusion and has taken balloons with two different effusion rates and velocities. The velocity of the gas particles when the rate of effusion of gas from the balloon is lower is 35 units.,The rate of effusion is directly proportional to velocity of particles.,"{'question_text': 'What could be the velocity of the gas of the other balloon?', 'options': [{'A': 33}, {'B': 40}, {'C': 36}, {'D': 31}], 'value_answer': [40, 36], 'option_answer': ['B', 'C'], 'other': {'given_value': 35, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",What could be the velocity of the gas of the other balloon?,"[{'A': 33}, {'B': 40}, {'C': 36}, {'D': 31}]","['40', '36']","['B', 'C']",Yamini,"[40, 36]",2,2,"['40', '36']",2,0
785,attribute_comparison,geometric_mean_and_harmonic_mean,Isaac's maths exercise is to calculate the Geometric mean and harmonic mean of a given series. The geometric mean is 41.,Geometric mean is greater than or equal to Harmonic mean.,"{'question_text': 'What could be the harmonic mean of the series?', 'options': [{'A': 36}, {'B': 38}, {'C': 39}, {'D': 40}, {'E': 'None'}], 'value_answer': [36, 38, 39, 40], 'option_answer': ['A', 'B', 'C', 'D'], 'other': {'given_value': 41, 'more_is_correct_flag': False, 'equal_is_correct_flag': True}}",What could be the harmonic mean of the series?,"[{'A': 36}, {'B': 38}, {'C': 39}, {'D': 40}, {'E': 'None'}]","['36', '38', '39', '40']","['A', 'B', 'C', 'D']",Sivapriya,"[36, 38, 39, 40]",4,4,"['36', '38', '39', '40']",4,0
90,attribute_comparison,gravity,The gravitational pull 1000 units above the Earth's surface is 5. ,Gravitational pull decreases as the distance from Earth increases,"{'question_text': ""What could be the gravitational pull 6000 units above the Earth's surface?"", 'options': [{'A': 2}, {'B': 9}, {'C': 5}, {'D': 7}, {'E': 'None'}], 'value_answer': [2], 'option_answer': ['A'], 'other': {'given_value': 5, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the gravitational pull 6000 units above the Earth's surface?,"[{'A': 2}, {'B': 9}, {'C': 5}, {'D': 7}, {'E': 'None'}]",['2'],['A'],Neeraj,"[2, 9]",1,1,"['2', '9']",2,1
709,attribute_comparison,poster,A merketing comoany wants to get 2 posters of different sizes. 321 ml of ink is required for the smaller poster.,Printing of large poster requires more amount of ink as compared to printing of small posters.,"{'question_text': 'What could be the amount of ink required for the larger poster?', 'options': [{'A': 307}, {'B': 289}, {'C': 362}, {'D': 323}], 'value_answer': [362, 323], 'option_answer': ['C', 'D'], 'other': {'given_value': 321, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",What could be the amount of ink required for the larger poster?,"[{'A': 307}, {'B': 289}, {'C': 362}, {'D': 323}]","['362', '323']","['C', 'D']",Sidharth,"[307, 289, 362, 323]",2,2,"['307', '289', '362', '323']",4,2
361,attribute_comparison,cylinder_and_volume,Jameson's is distributing two water bottles at an event. Bottles are in cylindrical shape. Radius of the bottle having lower volume is 11 meters.,Volume of the cylinder is directly proportional to radius.,"{'question_text': 'What could be the radius of the other bottle ?', 'options': [{'A': 6}, {'B': 7}, {'C': 13}, {'D': 15}, {'E': 'None'}], 'value_answer': [13, 15], 'option_answer': ['C', 'D'], 'other': {'given_value': 11, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",What could be the radius of the other bottle ?,"[{'A': 6}, {'B': 7}, {'C': 13}, {'D': 15}, {'E': 'None'}]","['13', '15']","['C', 'D']",Saurabh,"[13, 15]",2,2,"['13', '15']",2,0
261,attribute_comparison,temperature_and_weather ,Joseph lives in Texas which is more hotter than where his friend stays which is in San Diego. The temperature in Texas is 46 celsius.,Hotter weather means higher temperature.,"{'question_text': ""What could be the temperature in the city where Joseph's friend stays?"", 'options': [{'A': 53}, {'B': 41}, {'C': 48}, {'D': 36}], 'value_answer': [41, 36], 'option_answer': ['B', 'D'], 'other': {'given_value': 46, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the temperature in the city where Joseph's friend stays?,"[{'A': 53}, {'B': 41}, {'C': 48}, {'D': 36}]","['41', '36']","['B', 'D']",Kevin,"[53, 41, 48]",2,1,"['53', '41', '48']",3,1
443,attribute_comparison,speed_and_time,Two colleague going were going to office. One of the person was travelling using bike and the other person was using city bus. The bus which took less time was travelling with the speed of 48 minutes to reach to the office.,Time taken is inversely proportional to speed,"{'question_text': 'What could be the speed of the bike ?', 'options': [{'A': 44}, {'B': 45}, {'C': 52}, {'D': 47}, {'E': 'None'}], 'value_answer': [44, 45, 47], 'option_answer': ['A', 'B', 'D'], 'other': {'given_value': 48, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the speed of the bike ?,"[{'A': 44}, {'B': 45}, {'C': 52}, {'D': 47}, {'E': 'None'}]","['44', '45', '47']","['A', 'B', 'D']",Saurabh,"[44, 45, 47]",3,3,"['44', '45', '47']",3,0
692,attribute_comparison,obj_weight,"Leo performs an experiment on balloons. He takes two balloons, he fills one of them with air  and other one with water in it. He throws both the balloons at the same time from the same height and the balloon with water reaches the ground faster than the balloon with air. The weight of the balloon with air is 163 grams.",Objects with more weight tend to fall faster as compared to objects with less weight.,"{'question_text': 'What can be the weight of water balloon?', 'options': [{'A': 150}, {'B': 170}, {'C': 143}, {'D': 159}, {'E': 'None'}], 'value_answer': [170], 'option_answer': ['B'], 'other': {'given_value': 163, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",What can be the weight of water balloon?,"[{'A': 150}, {'B': 170}, {'C': 143}, {'D': 159}, {'E': 'None'}]",['170'],['B'],Sidharth,"[170, 143]",1,1,"['170', '143']",2,1
696,attribute_comparison,ohm_law,"There are two light bulbs and on both socket of the bulb, the voltage is different. 11 A is the current in bulb with higher voltage.",Voltage is directly proportional to current.,"{'question_text': 'What could be the current in bulb with higher voltage?', 'options': [{'A': 15}, {'B': 13}, {'C': 12}, {'D': 8}], 'value_answer': [15, 13, 12], 'option_answer': ['A', 'B', 'C'], 'other': {'given_value': 11, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",What could be the current in bulb with higher voltage?,"[{'A': 15}, {'B': 13}, {'C': 12}, {'D': 8}]","['15', '13', '12']","['A', 'B', 'C']",Sidharth,"[15, 13, 12]",3,3,"['15', '13', '12']",3,0
175,attribute_comparison,train_and_plane,A plane covers 33 miles in some time.,Plane is a faster way of travelling than train,"{'question_text': 'How many miles a train can cover in the same time?', 'options': [{'A': 38}, {'B': 40}, {'C': 33}, {'D': 47}, {'E': 'None'}], 'value_answer': ['None'], 'option_answer': ['E'], 'other': {'given_value': 33, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",How many miles a train can cover in the same time?,"[{'A': 38}, {'B': 40}, {'C': 33}, {'D': 47}, {'E': 'None'}]","[""'None'""]",['E'],Neeraj,"[38, 40]",1,0,"['38', '40']",2,1
885,change_with_action,boys_and_girls,There are 70 students in a class.,There will equal or less number of girls than the total number of students,"{'question_text': 'How many girls can be there in this class?', 'options': [{'A': 80}, {'B': 53}, {'C': 54}, {'D': 71}], 'value_answer': [53, 54], 'option_answer': ['B', 'C'], 'other': {'given_value': 70, 'more_is_correct_flag': False, 'equal_is_correct_flag': True}}",How many girls can be there in this class?,"[{'A': 80}, {'B': 53}, {'C': 54}, {'D': 71}]","['53', '54']","['B', 'C']",Neeraj,[54],2,1,['54'],1,-1
351,attribute_comparison,weight_and_volume,Eric's has two identical cylindrical shaped bottles. The bottle holding less amount of water has 33 kg weight.,Larger amount of water have more weight.,"{'question_text': 'What could be the weight of the other bottle ?', 'options': [{'A': 28}, {'B': 32}, {'C': 27}, {'D': 38}, {'E': 'None'}], 'value_answer': [38], 'option_answer': ['D'], 'other': {'given_value': 33, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",What could be the weight of the other bottle ?,"[{'A': 28}, {'B': 32}, {'C': 27}, {'D': 38}, {'E': 'None'}]",['38'],['D'],Saurabh,[38],1,1,['38'],1,0
270,attribute_comparison,volume_and_height,Benjamin's house recently installed a rectangular water tank and his friends' house also installed a bigger water tank with the same base dimensions. The height of the Benjamin's water tank is 81 m.,Volume is directly proportional to height when base area is constant.,"{'question_text': ""What could be the height of the tank installed by Benjamin's friend?"", 'options': [{'A': 87}, {'B': 89}, {'C': 71}, {'D': 90}, {'E': 'None'}], 'value_answer': [87, 89, 90], 'option_answer': ['A', 'B', 'D'], 'other': {'given_value': 81, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",What could be the height of the tank installed by Benjamin's friend?,"[{'A': 87}, {'B': 89}, {'C': 71}, {'D': 90}, {'E': 'None'}]","['87', '89', '90']","['A', 'B', 'D']",Kevin,"[87, 89, 90]",3,3,"['87', '89', '90']",3,0
1500,non_numerical,purchase_football,Maxwell visited a shop to purchase a ball for playing the soccer sport.,"The sport soccer can be played using the football but not with baseball, or volley ball.","{'question_text': 'What could be the ball?', 'options': [{'A': 'Baseball'}, {'B': 'Football'}, {'C': 'Volleyball'}, {'D': 'Tennisball'}], 'value_answer': ['Football'], 'option_answer': ['B'], 'other': {}}",What could be the ball?,"[{'A': 'Baseball'}, {'B': 'Football'}, {'C': 'Volleyball'}, {'D': 'Tennisball'}]","[""'Football'""]",['B'],Sivapriya,[Football],1,0,['Football'],1,0
1195,non_numerical,diving_height,Several cars were turning right without waiting for the signal when Evan was on his fway to work.,Incoming traffic need not wait for signal to turn right on a free right.,"{'question_text': 'What type of signal did Evan encounter on the way to his work?', 'options': [{'A': 'Free right'}, {'B': 'Free left'}, {'C': 'U Turn'}, {'D': 'Red light'}], 'value_answer': ['Free right'], 'option_answer': ['A'], 'other': {}}",What type of signal did Evan encounter on the way to his work?,"[{'A': 'Free right'}, {'B': 'Free left'}, {'C': 'U Turn'}, {'D': 'Red light'}]","[""'Free right'""]",['A'],Kevin,['Free right'],1,1,"[""'Free right'""]",1,0
580,attribute_comparison,humidity_and_temperature,The cities where Jacob and his friend lives have different weather conditions. The temperature of the city with lower relative humidity is 149 K.,Relative humidity is inversely proportional to temperature.,"{'question_text': 'What could be the relative humidty of the other city?', 'options': [{'A': 144}, {'B': 147}, {'C': 153}, {'D': 140}, {'E': 'None'}], 'value_answer': [144, 147, 140], 'option_answer': ['A', 'B', 'D'], 'other': {'given_value': 149, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the relative humidty of the other city?,"[{'A': 144}, {'B': 147}, {'C': 153}, {'D': 140}, {'E': 'None'}]","['144', '147', '140']","['A', 'B', 'D']",Yamini,"[144, 147]",3,2,"['144', '147']",2,-1
479,attribute_comparison,width_paint_wall,A restaurant hired a painter to paint two walls in the dining hall. The name of the painter is Nathan. The painter painted the wall with larger width which required 20 volume of paint.,Volume of paint required is directly proportional to width of the wall.,"{'question_text': 'What could be the volume of paint Nathan requires to paint the other wall?', 'options': [{'A': 21}, {'B': 15}, {'C': 25}, {'D': 17}, {'E': 'None'}], 'value_answer': [15, 17], 'option_answer': ['B', 'D'], 'other': {'given_value': 20, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the volume of paint Nathan requires to paint the other wall?,"[{'A': 21}, {'B': 15}, {'C': 25}, {'D': 17}, {'E': 'None'}]","['15', '17']","['B', 'D']",Saurabh,"[21, 15, 25, 17]",2,2,"['21', '15', '25', '17']",4,2
50,attribute_comparison,direct_comparison,Planet A is bigger in radius that planet B. The radius of planet A is 43 units.,Smaller planet has a smaller radius in comparison to a larger planet,"{'question_text': 'What could be the radius of planet B?', 'options': [{'A': 46}, {'B': 39}, {'C': 43}, {'D': 41}], 'value_answer': [39, 41], 'option_answer': ['B', 'D'], 'other': {'given_value': 43, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the radius of planet B?,"[{'A': 46}, {'B': 39}, {'C': 43}, {'D': 41}]","['39', '41']","['B', 'D']",Neeraj,"[39, 41]",2,2,"['39', '41']",2,0
230,attribute_comparison,sibling_relationship,Brandon's elder brother recenetly turned 26 years old this year.,Elder sibling is older than younger sibling.,"{'question_text': 'What could be the age of Brandon this year?', 'options': [{'A': 28}, {'B': 30}, {'C': 26}, {'D': 21}, {'E': 'None'}], 'value_answer': [26, 21], 'option_answer': ['C', 'D'], 'other': {'given_value': 26, 'more_is_correct_flag': False, 'equal_is_correct_flag': True}}",What could be the age of Brandon this year?,"[{'A': 28}, {'B': 30}, {'C': 26}, {'D': 21}, {'E': 'None'}]","['26', '21']","['C', 'D']",Kevin,"[28, 30, 26]",2,1,"['28', '30', '26']",3,1
1385,non_numerical,crab_walk,Carlos saw an animal on a beach when he went to travel with his friends to Goa. ,Animals like crab walk sideways.,"{'question_text': 'Which could be the animal?', 'options': [{'A': 'shark'}, {'B': 'jellyfish'}, {'C': 'goldfish'}, {'D': 'crab'}], 'value_answer': ['crab'], 'option_answer': ['D'], 'other': {}}",Which could be the animal?,"[{'A': 'shark'}, {'B': 'jellyfish'}, {'C': 'goldfish'}, {'D': 'crab'}]","[""'crab'""]",['D'],Saurabh,[D],1,1,['D'],1,0
