index,category,subcategory,premise,knowledge,question,question_text,options,value_answer,option_answer,author,GPT3Pred
312,attribute_comparison,kinetic_energy_and_mass,There were two different cannon balls launched from a cannon during a battle in world war 2. Both cannon balls had the same speed but had different masses. The lighter cannon ball has a kinetic energy of 6396 units.,Kinetic energy is directly proportional to mass of the object.,"{'question_text': 'What could be kinetic energy of the heavier cannon ball?', 'options': [{'A': 6889}, {'B': 6731}, {'C': 7365}, {'D': 6408}, {'E': 'None'}], 'value_answer': [6889, 6731, 7365, 6408], 'option_answer': ['A', 'B', 'C', 'D'], 'other': {'given_value': 6396, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",What could be kinetic energy of the heavier cannon ball?,"[{'A': 6889}, {'B': 6731}, {'C': 7365}, {'D': 6408}, {'E': 'None'}]","[6889, 6731, 7365, 6408]","['A', 'B', 'C', 'D']",Himanshu,"[6731, 6408]"
1194,non_numerical,diving_height,Several cars were turning right without waiting for the signal when Cameron was on his fway to work.,Incoming traffic need not wait for signal to turn right on a free right.,"{'question_text': 'What type of signal did Cameron encounter on the way to his work?', 'options': [{'A': 'Free right'}, {'B': 'Free left'}, {'C': 'U Turn'}, {'D': 'Red light'}], 'value_answer': ['Free right'], 'option_answer': ['A'], 'other': {}}",What type of signal did Cameron encounter on the way to his work?,"[{'A': 'Free right'}, {'B': 'Free left'}, {'C': 'U Turn'}, {'D': 'Red light'}]",['Free right'],['A'],Kevin,"[Free right, Free left]"
418,attribute_comparison,projectile_height,Logan and his brother are throwing two identical balls in an upward direction at 45 degree of projection angle. Logan's ball which reached at higher height had initial velocity of 13 meter/second.,The maximum height reached by the ball is directly proportional to the initial velocity at which it is thrown if fired at 45 degrees of projection angle.,"{'question_text': ""What could be the initial velocity of the ball thrown by Logan's brother?"", 'options': [{'A': 8}, {'B': 3}, {'C': 18}, {'D': 10}, {'E': 'None'}], 'value_answer': [8, 3, 10], 'option_answer': ['A', 'B', 'D'], 'other': {'given_value': 13, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the initial velocity of the ball thrown by Logan's brother?,"[{'A': 8}, {'B': 3}, {'C': 18}, {'D': 10}, {'E': 'None'}]","[8, 3, 10]","['A', 'B', 'D']",Saurabh,"[8, 10]"
234,attribute_comparison,size_to_weight,Justin recently bought an SUV which is bigger than his friend's sedan and weighed around 5468 lb.,Bigger car is heavier than smaller car.,"{'question_text': ""What could be the weight of the Justin's friends sedan?"", 'options': [{'A': 6500}, {'B': 4700}, {'C': 4800}, {'D': 4900}], 'value_answer': [4700, 4800, 4900], 'option_answer': ['B', 'C', 'D'], 'other': {'given_value': 5468, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the weight of the Justin's friends sedan?,"[{'A': 6500}, {'B': 4700}, {'C': 4800}, {'D': 4900}]","[4700, 4800, 4900]","['B', 'C', 'D']",Kevin,"[4700, 4800, 4900]"
1019,implicit_numerical_knowledge,century,The price of a property in increasing by at least 58 dollars every year.,A century has 100 years,"{'question_text': 'By how much the price could have changed after a century?', 'options': [{'A': 5450}, {'B': 5700}, {'C': 6250}, {'D': 6300}], 'value_answer': [6250, 6300], 'option_answer': ['C', 'D'], 'other': {'given_value': 5800, 'more_is_correct_flag': True, 'equal_is_correct_flag': True}}",By how much the price could have changed after a century?,"[{'A': 5450}, {'B': 5700}, {'C': 6250}, {'D': 6300}]","[6250, 6300]","['C', 'D']",Neeraj,"[5450, 5700, 6250, 6300]"
1543,non_numerical,real_and_imaginary_numbers,Jonathan is curious math student and learning about number line. He asked his teacher where he can mark the square root of -2 in the line. The teacher answered that the number cannot be represented on the real number line. ,Any number that can be represented on the real number line is a real number. Some number like square root of -1 cannot be represented on the number line and are called imaginary numbers.,"{'question_text': 'What could be the type of the numeral?', 'options': [{'A': 'irrational number'}, {'B': 'rational number'}, {'C': 'whole number'}, {'D': 'none of these'}], 'value_answer': ['rational number'], 'option_answer': ['B'], 'other': {}}",What could be the type of the numeral?,"[{'A': 'irrational number'}, {'B': 'rational number'}, {'C': 'whole number'}, {'D': 'none of these'}]",['rational number'],['B'],Himanshu,[A]
251,attribute_comparison,subset_vs_set,There are 129 balls in the bag. Some balls are red and some are blue.,A subset can not be bigger than the set.,"{'question_text': 'How many red balls could be in the bag?', 'options': [{'A': 125}, {'B': 133}, {'C': 130}, {'D': 131}], 'value_answer': [125], 'option_answer': ['A'], 'other': {'given_value': 129, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",How many red balls could be in the bag?,"[{'A': 125}, {'B': 133}, {'C': 130}, {'D': 131}]",[125],['A'],Kevin,"[125, 130]"
1171,non_numerical,celebrities,Christopher was dining at a hotel when he suddenly saw several diners and photographers running behind a person to get his autograph and photographs.,Famous people have huge fan following.,"{'question_text': 'Who could have been the person that Christopher saw in the hotel?', 'options': [{'A': 'Actor'}, {'B': 'Football player'}, {'C': 'Valet'}, {'D': 'Waiter'}], 'value_answer': ['Actor', 'Football player'], 'option_answer': ['A', 'B'], 'other': {}}",Who could have been the person that Christopher saw in the hotel?,"[{'A': 'Actor'}, {'B': 'Football player'}, {'C': 'Valet'}, {'D': 'Waiter'}]","['Actor', 'Football player']","['A', 'B']",Kevin,"['Actor', 'Football player']"
95,attribute_comparison,height_and_potential_energy,Abraham learns about the relation of potential energy and height. 25 units is the height of ball which has higher potential energy.,Potential energy is directly proportional to the height,"{'question_text': 'What could be the height of the other ball ?', 'options': [{'A': 21}, {'B': 27}, {'C': 25}, {'D': 29}, {'E': 'None'}], 'value_answer': [21], 'option_answer': ['A'], 'other': {'given_value': 25, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the height of the other ball ?,"[{'A': 21}, {'B': 27}, {'C': 25}, {'D': 29}, {'E': 'None'}]",[21],['A'],Neeraj,"[21, 27, 29]"
814,attribute_comparison,resistance_series_and_parallel,Jameson connected two circuits where the resistors are in parallel and in series. The total resistance when connected in series is 23 units.,A circuit with parallel connections has a smaller total resistance than the resistors connected in series.,"{'question_text': 'What could be the total resistance of the other connection of resistors?', 'options': [{'A': 27}, {'B': 22}, {'C': 18}, {'D': 24}], 'value_answer': [22, 18], 'option_answer': ['B', 'C'], 'other': {'given_value': 23, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the total resistance of the other connection of resistors?,"[{'A': 27}, {'B': 22}, {'C': 18}, {'D': 24}]","[22, 18]","['B', 'C']",Sivapriya,"[22, 24]"
853,change_with_time,height,"Thomas  went to clinic today, where he was asked to meausre hise height. So his height was 18 inches.",Height does not decrease with time,"{'question_text': ""What could be Thomas's height next year ?"", 'options': [{'A': 13}, {'B': 20}, {'C': 17}, {'D': 16}, {'E': 'None'}], 'value_answer': [20], 'option_answer': ['B'], 'other': {'given_value': 18, 'more_is_correct_flag': True, 'equal_is_correct_flag': True}}",What could be Thomas's height next year ?,"[{'A': 13}, {'B': 20}, {'C': 17}, {'D': 16}, {'E': 'None'}]",[20],['B'],Neeraj,"[20, 17]"
1016,implicit_numerical_knowledge,cards,"Carlos had a deck of cards. On his last trip to Vegas, he lost all the red cards and a few other cards.","In a deck of cards, there are 52 cards out of which 26 are black","{'question_text': 'How many cards could he be having now?', 'options': [{'A': 14}, {'B': 10}, {'C': 42}, {'D': 26}], 'value_answer': [14, 10], 'option_answer': ['A', 'B'], 'other': {'given_value': 26, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",How many cards could he be having now?,"[{'A': 14}, {'B': 10}, {'C': 42}, {'D': 26}]","[14, 10]","['A', 'B']",Neeraj,"[14, 10, 26]"
1390,non_numerical,electric_eel,Leon was watching a show on television and learnt that there is a fish hunts its prey by giving them an electric shock.,Animal like electric eel can give an electric shock of roughly 400 volts that knock down a human body.,"{'question_text': 'What could be the fish?', 'options': [{'A': 'goldfish'}, {'B': 'octopus'}, {'C': 'electric eel'}, {'D': 'zebra'}], 'value_answer': ['electric eel'], 'option_answer': ['C'], 'other': {}}",What could be the fish?,"[{'A': 'goldfish'}, {'B': 'octopus'}, {'C': 'electric eel'}, {'D': 'zebra'}]",['electric eel'],['C'],Saurabh,[electric eel]
626,attribute_comparison,surface_tension_and_temperature,Jacob is washing clothes using water in different temperatures and found that efficiency of water increased by lowering the surface tension which is how they resist external force with change in temperature. The surface tension of the liquid with lower temperature is 18 units.,Surface tension decreases when the temperature increases.,"{'question_text': 'What could be the surface tension of the other water?', 'options': [{'A': 20}, {'B': 15}, {'C': 21}, {'D': 13}, {'E': 'None'}], 'value_answer': [15, 13], 'option_answer': ['B', 'D'], 'other': {'given_value': 18, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the surface tension of the other water?,"[{'A': 20}, {'B': 15}, {'C': 21}, {'D': 13}, {'E': 'None'}]","[15, 13]","['B', 'D']",Yamini,"[15, 13]"
933,change_with_action,passing,"In an exam, 39 students passed while a few failed.",Number of total students is more or equal than the number of passed students,"{'question_text': 'How many hours can Patrick spend in studying in total?', 'options': [{'A': 31}, {'B': 46}, {'C': 38}, {'D': 44}], 'value_answer': [46, 44], 'option_answer': ['B', 'D'], 'other': {'given_value': 39, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",How many hours can Patrick spend in studying in total?,"[{'A': 31}, {'B': 46}, {'C': 38}, {'D': 44}]","[46, 44]","['B', 'D']",Neeraj,"[31, 38, 44]"
1064,implicit_numerical_knowledge,dice,Antonio rolled 4 regular dice and calculated the sum on all dice.,Values in a regular dice range from 1 to 6,"{'question_text': 'What could have been his total?', 'options': [{'A': 18}, {'B': 24}, {'C': 22}, {'D': 19}], 'value_answer': [18, 24, 22, 19], 'option_answer': ['A', 'B', 'C', 'D'], 'other': {'given_value': 24, 'more_is_correct_flag': False, 'equal_is_correct_flag': True}}",What could have been his total?,"[{'A': 18}, {'B': 24}, {'C': 22}, {'D': 19}]","[18, 24, 22, 19]","['A', 'B', 'C', 'D']",Neeraj,"[18, 19, 22, 24]"
950,change_with_action,selling,There is a phone whose price before discount was 680 dollars. Jason brought that phone in a sale.,Selling price of an object decreases if discount is given,"{'question_text': 'What could be the discounted price of that phone?', 'options': [{'A': 750}, {'B': 600}, {'C': 700}, {'D': 650}], 'value_answer': [600, 650], 'option_answer': ['B', 'D'], 'other': {'given_value': 680, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the discounted price of that phone?,"[{'A': 750}, {'B': 600}, {'C': 700}, {'D': 650}]","[600, 650]","['B', 'D']",Neeraj,"[600, 650, 700]"
1149,non_numerical,cars_and_trains,Oliver saw a vehicle travelling on rails from his window.,Vehicles like car and bicycle run on the ground. Vehicle like train run on rails.,"{'question_text': 'What could be the vehicle?', 'options': [{'A': 'bicycle'}, {'B': 'car'}, {'C': 'truck'}, {'D': 'train'}], 'value_answer': ['train'], 'option_answer': ['D'], 'other': {}}",What could be the vehicle?,"[{'A': 'bicycle'}, {'B': 'car'}, {'C': 'truck'}, {'D': 'train'}]",['train'],['D'],Himanshu,[{'D': 'train'}]
96,attribute_comparison,height_and_potential_energy,Matthew learns about the relation of potential energy and height. 34 units is the potential energy of the ball at higher height.,Potential energy is directly proportional to the height,"{'question_text': 'What could be the potential energy of the other ball?', 'options': [{'A': 32}, {'B': 35}, {'C': 31}, {'D': 34}], 'value_answer': [32, 31], 'option_answer': ['A', 'C'], 'other': {'given_value': 34, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the potential energy of the other ball?,"[{'A': 32}, {'B': 35}, {'C': 31}, {'D': 34}]","[32, 31]","['A', 'C']",Neeraj,"[32, 34]"
1325,non_numerical_sg,kangaroo,Kayden went on a trip to Australia. He was eager to see the five legged animal that is famous in Australia.,Kangaroo is effectively a five legged animal.,"{'question_text': 'What could have been the animal that Kayden saw?', 'options': [{'A': 'Kangaroo'}, {'B': 'Cheetah'}, {'C': 'Panther'}, {'D': 'Tasmanian Wolf'}], 'value_answer': ['Cheetah'], 'option_answer': ['B'], 'other': {}}",What could have been the animal that Kayden saw?,"[{'A': 'Kangaroo'}, {'B': 'Cheetah'}, {'C': 'Panther'}, {'D': 'Tasmanian Wolf'}]",['Cheetah'],['B'],Sidharth,[Kangaroo]
1346,non_numerical_sg,shortest_month,Cole's birthday comes in the current month. It is the shortest month out of all the twelve months.,February is the shortest month of the year.,"{'question_text': 'Which could be the current month?', 'options': [{'A': 'January'}, {'B': 'February'}, {'C': 'December'}, {'D': 'November'}], 'value_answer': ['February'], 'option_answer': ['B'], 'other': {}}",Which could be the current month?,"[{'A': 'January'}, {'B': 'February'}, {'C': 'December'}, {'D': 'November'}]",['February'],['B'],Sidharth,"[January, February]"
1176,non_numerical,diving_height,"When Robert visited a water park, he noticed that no one was diving into the pool.",Diving in shallow pools can cause serious injury.,"{'question_text': 'Why was no one diving into the pool that Robert visited in the park?', 'options': [{'A': 'Shallow pool'}, {'B': 'Deep pool'}, {'C': 'Shark infested'}, {'D': 'None'}], 'value_answer': ['Shallow pool'], 'option_answer': ['A'], 'other': {}}",Why was no one diving into the pool that Robert visited in the park?,"[{'A': 'Shallow pool'}, {'B': 'Deep pool'}, {'C': 'Shark infested'}, {'D': 'None'}]",['Shallow pool'],['A'],Kevin,"[Shallow pool, Deep pool, Shark infested]"
1587,implicit_numerical_knowledge,double,Jacob scored 772 runs last year and this year he has scored more than double these runs.,Double means two times,"{'question_text': 'How many runs Jacob could have scored this year?', 'options': [{'A': 1450}, {'B': 1700}, {'C': 1350}, {'D': 1400}, {'E': 'None'}], 'value_answer': [1700], 'option_answer': ['B'], 'other': {'given_value': 1544, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",How many runs Jacob could have scored this year?,"[{'A': 1450}, {'B': 1700}, {'C': 1350}, {'D': 1400}, {'E': 'None'}]",[1700],['B'],Neeraj,"[1450, 1700]"
198,attribute_comparison,cup_and_water,Andrew's is holding a single 467 ml cup of water.,The volume of water cannot be more than the volume of cup.,"{'question_text': 'How much water can Andrew drink from that cup?', 'options': [{'A': 460}, {'B': 480}, {'C': 475}, {'D': 450}], 'value_answer': [460, 450], 'option_answer': ['A', 'D'], 'other': {'given_value': 467, 'more_is_correct_flag': False, 'equal_is_correct_flag': True}}",How much water can Andrew drink from that cup?,"[{'A': 460}, {'B': 480}, {'C': 475}, {'D': 450}]","[460, 450]","['A', 'D']",Kevin,"[460, 475]"
1358,non_numerical_sg,travel_air,"Abraham wanted to travel from Arizona to California in the shortest time possible. He decided to go by car, but he got late.",Air travel is faster than road travel,"{'question_text': 'What could be the preferred mode of transportation?', 'options': [{'A': 'Car'}, {'B': 'Bus'}, {'C': 'Bike'}, {'D': 'Airplane'}], 'value_answer': ['Airplane'], 'option_answer': ['D'], 'other': {}}",What could be the preferred mode of transportation?,"[{'A': 'Car'}, {'B': 'Bus'}, {'C': 'Bike'}, {'D': 'Airplane'}]",['Airplane'],['D'],Sidharth,"[{'A': 'Car'}, {'B': 'Bus'}, {'C': 'Bike'}]"
1478,non_numerical,fire_proof,"Leo's house caught fire, and a fire engine arrived late. Some objects in the house reduced the flow of heat in the meantime.",Fire-retardants like concrete can withstand extremely high temperatures and help to slow the spread of a fire whereas cotton cannot.,"{'question_text': 'What could be the objects?', 'options': [{'A': 'concrete'}, {'B': 'Fire-Bricks'}, {'C': 'Fire-Rate Doors'}, {'D': 'Cotton curtains'}], 'value_answer': ['concrete', 'Fire-Bricks', 'Fire-Rate Doors'], 'option_answer': ['A', 'B', 'C'], 'other': {}}",What could be the objects?,"[{'A': 'concrete'}, {'B': 'Fire-Bricks'}, {'C': 'Fire-Rate Doors'}, {'D': 'Cotton curtains'}]","['concrete', 'Fire-Bricks', 'Fire-Rate Doors']","['A', 'B', 'C']",Sivapriya,"[{'A': 'concrete'}, {'B': 'Fire-Bricks'}, {'C': 'Fire-Rate Doors'}]"
463,attribute_comparison,radius_and_volume,A professor is explaining to his students how water filled in a container is related to dimensions of the pipe. Professor used two pipes filling their respective well experiment to explain. He set the same velocity of flowing water to the pipe. The pipe with a larger radius has filled 30 liters of water into the well.,Volume filled is directly proportional to radius of the pipe,"{'question_text': 'What could be the volume of water filled by other pipe ?', 'options': [{'A': 21}, {'B': 24}, {'C': 31}, {'D': 30}, {'E': 'None'}], 'value_answer': [21, 24], 'option_answer': ['A', 'B'], 'other': {'given_value': 30, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the volume of water filled by other pipe ?,"[{'A': 21}, {'B': 24}, {'C': 31}, {'D': 30}, {'E': 'None'}]","[21, 24]","['A', 'B']",Saurabh,"[21, 24, 30]"
834,attribute_comparison,surface_tension_and_temperature,The surface tension of water was calculated at two different temperatures. The surface tension of water at the lower temperature is 40 units.,Surface tension is inversely proportional to the temperature.,"{'question_text': 'What could be the surface tension of the water at the higher temperature?', 'options': [{'A': 44}, {'B': 42}, {'C': 36}, {'D': 40}, {'E': 'None'}], 'value_answer': [36], 'option_answer': ['C'], 'other': {'given_value': 40, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the surface tension of the water at the higher temperature?,"[{'A': 44}, {'B': 42}, {'C': 36}, {'D': 40}, {'E': 'None'}]",[36],['C'],Sivapriya,"[44, 42, 40]"
544,attribute_comparison,effusion_and_velocity,Jaxon brought a balloon from a birthday party and observed loss of gas inside a balloon over time. So he wants to understand the reason behind this effusion and has taken balloons with two different effusion rates and velocities. The velocity of the gas particles when the rate of effusion of gas from the balloon is lower is 35 units.,The rate of effusion is directly proportional to velocity of particles.,"{'question_text': 'What could be the velocity of the gas of the other balloon?', 'options': [{'A': 33}, {'B': 40}, {'C': 36}, {'D': 31}], 'value_answer': [40, 36], 'option_answer': ['B', 'C'], 'other': {'given_value': 35, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",What could be the velocity of the gas of the other balloon?,"[{'A': 33}, {'B': 40}, {'C': 36}, {'D': 31}]","[40, 36]","['B', 'C']",Yamini,"[33, 36, 40]"
874,change_with_action,addition,There is number 69 and a negative number is added to it.,Adding a negative number from a value results in a smaller value,"{'question_text': 'What could be the result?', 'options': [{'A': 83}, {'B': 78}, {'C': 85}, {'D': 59}, {'E': 'None'}], 'value_answer': [59], 'option_answer': ['D'], 'other': {'given_value': 69, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the result?,"[{'A': 83}, {'B': 78}, {'C': 85}, {'D': 59}, {'E': 'None'}]",[59],['D'],Neeraj,"[59, 'None']"
1160,non_numerical,lock_and_key,Dawson is trying to open a lock in front of him and he was able to open the lock with that object.,A key can be used to open a lock. Any other object cannot open the lock.,"{'question_text': 'What could be the object from which the lock was opened?', 'options': [{'A': 'door'}, {'B': 'fruit'}, {'C': 'key'}, {'D': 'none of these'}], 'value_answer': ['key'], 'option_answer': ['C'], 'other': {}}",What could be the object from which the lock was opened?,"[{'A': 'door'}, {'B': 'fruit'}, {'C': 'key'}, {'D': 'none of these'}]",['key'],['C'],Himanshu,[key]
472,attribute_comparison,height_paint_wall,"Jackson is painting two walls in the garage, both walls are equally wide. A wall that has a less height required 29 volume of paint.",Volume of paint required is directly proportional to height of the wall.,"{'question_text': 'What could be the volume of paint Jackson requires to paint the other wall?', 'options': [{'A': 34}, {'B': 21}, {'C': 28}, {'D': 30}, {'E': 'None'}], 'value_answer': [34, 30], 'option_answer': ['A', 'D'], 'other': {'given_value': 29, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",What could be the volume of paint Jackson requires to paint the other wall?,"[{'A': 34}, {'B': 21}, {'C': 28}, {'D': 30}, {'E': 'None'}]","[34, 30]","['A', 'D']",Saurabh,"[21, 28, 30]"
432,attribute_comparison,sheet_pages,Alex is trying to get a rough estimate of how many A4 sized papers can be made from a large sheet of paper. He has two large big of paper. Number of papers prepared from a larger sheet is 110.,Number of pages made is directly proportional to the area of sheet.,"{'question_text': 'What could be the number of pages created by the other sheet?', 'options': [{'A': 102}, {'B': 100}, {'C': 117}, {'D': 116}, {'E': 'None'}], 'value_answer': [102, 100], 'option_answer': ['A', 'B'], 'other': {'given_value': 110, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the number of pages created by the other sheet?,"[{'A': 102}, {'B': 100}, {'C': 117}, {'D': 116}, {'E': 'None'}]","[102, 100]","['A', 'B']",Saurabh,"[102, 100, 117, 116]"
928,change_with_action,moving_components,A dock in New York has 34 crates and another dock in California has 42 crates.,Number of items that can be moved is less than or equal to the total number of items present,"{'question_text': 'How many crates can be moved the California dock?', 'options': [{'A': 42}, {'B': 44}, {'C': 46}, {'D': 39}], 'value_answer': [42, 39], 'option_answer': ['A', 'D'], 'other': {'given_value': 42, 'more_is_correct_flag': False, 'equal_is_correct_flag': True}}",How many crates can be moved the California dock?,"[{'A': 42}, {'B': 44}, {'C': 46}, {'D': 39}]","[42, 39]","['A', 'D']",Neeraj,"[42, 44, 46]"
225,attribute_comparison,vehicle_and_garage,137 cars were parked in the parking lot owned by Jace at 1 pm.,Number of parking spots is at least the number of cars parked in the area.,"{'question_text': 'How many spots could the parking garage have?', 'options': [{'A': 155}, {'B': 140}, {'C': 135}, {'D': 130}, {'E': 'None'}], 'value_answer': [135, 130], 'option_answer': ['C', 'D'], 'other': {'given_value': 137, 'more_is_correct_flag': False, 'equal_is_correct_flag': True}}",How many spots could the parking garage have?,"[{'A': 155}, {'B': 140}, {'C': 135}, {'D': 130}, {'E': 'None'}]","[135, 130]","['C', 'D']",Kevin,"[155, 140, 135, 130]"
931,change_with_action,moving_components,A dock in California had 23 crates and a few crates have been transferred to the dock in New York.,When a few items are moved away the number of items that remain is less than the total number of items initially present,"{'question_text': 'How many crates could be remaining at the California dock now?', 'options': [{'A': 23}, {'B': 26}, {'C': 25}, {'D': 18}], 'value_answer': [18], 'option_answer': ['D'], 'other': {'given_value': 23, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",How many crates could be remaining at the California dock now?,"[{'A': 23}, {'B': 26}, {'C': 25}, {'D': 18}]",[18],['D'],Neeraj,"[23, 18]"
1447,non_numerical,tusk,A multinational team led by the University of Oxford’s Pitt Rivers Museum recently found a ancient cargo. The cargo was mostly consisting of ivory that is obtained from an animal.,"Animals like elephant, walrus and wild boar have tusks.","{'question_text': 'What could the animal be?', 'options': [{'A': 'elephant'}, {'B': 'walrus'}, {'C': 'scorpion'}, {'D': 'dog'}], 'value_answer': ['elephant', 'walrus'], 'option_answer': ['A', 'B'], 'other': {}}",What could the animal be?,"[{'A': 'elephant'}, {'B': 'walrus'}, {'C': 'scorpion'}, {'D': 'dog'}]","['elephant', 'walrus']","['A', 'B']",Saurabh,"[elephant, walrus]"
1470,non_numerical,current_flow,Ivan got a shock when he switched on a short-circuited switch using an object instead of his bare hands.,Metals are good conductors of electricity whereas insulators are bad conductors of electricity.,"{'question_text': 'What could be the object used?', 'options': [{'A': 'Copper stick'}, {'B': 'Rubber stick'}, {'C': 'Steel holder'}, {'D': 'Glass rod'}], 'value_answer': ['Copper stick', 'Steel holder'], 'option_answer': ['A', 'C'], 'other': {}}",What could be the object used?,"[{'A': 'Copper stick'}, {'B': 'Rubber stick'}, {'C': 'Steel holder'}, {'D': 'Glass rod'}]","['Copper stick', 'Steel holder']","['A', 'C']",Sivapriya,"[{'A': 'Copper stick'}, {'B': 'Rubber stick'}]"
1546,non_numerical,pentagon_diagonal,Jordan in his class was asked a question about the name of figure which has a total of five diagonals.,A pentagon has five diagonals,"{'question_text': 'What could be the figure?', 'options': [{'A': 'Circle'}, {'B': 'Square'}, {'C': 'Triangle'}, {'D': 'Pentagon'}], 'value_answer': ['Pentagon'], 'option_answer': ['D'], 'other': {}}",What could be the figure?,"[{'A': 'Circle'}, {'B': 'Square'}, {'C': 'Triangle'}, {'D': 'Pentagon'}]",['Pentagon'],['D'],Sidharth,['Pentagon']
157,attribute_comparison,sound_limit,Maximum volume of a music system is 17 units.,A music system can not produce sound more than its limit,"{'question_text': 'Calvin bought this system and played it in his party. At what volume he could have played the music?', 'options': [{'A': 21}, {'B': 20}, {'C': 18}, {'D': 15}], 'value_answer': [15], 'option_answer': ['D'], 'other': {'given_value': 17, 'more_is_correct_flag': False, 'equal_is_correct_flag': True}}",Calvin bought this system and played it in his party. At what volume he could have played the music?,"[{'A': 21}, {'B': 20}, {'C': 18}, {'D': 15}]",[15],['D'],Neeraj,[15]
304,attribute_comparison,frequency and wavelength,There are two waves moving with same velocities and Abraham has to find the relationship between their frequency and wavelength. Wavelength of the wave with higher frequency is 81710 units.,"Given two waves with same velocity, a wave with higher frequency will have lower wavelength.","{'question_text': 'What could be the wavelength of the wave with lower frequency?', 'options': [{'A': 82300}, {'B': 81000}, {'C': 80700}, {'D': 82600}], 'value_answer': [81000, 80700], 'option_answer': ['B', 'C'], 'other': {'given_value': 81710, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the wavelength of the wave with lower frequency?,"[{'A': 82300}, {'B': 81000}, {'C': 80700}, {'D': 82600}]","[81000, 80700]","['B', 'C']",Himanshu,"[81000, 80700]"
763,attribute_comparison,cholestrol_and_fat,"Gabriel was following a good healthy diet suggested by the doctor. The cholesterol level used to be 69 units. Due to some reasons, Gabriel started eating the outside food where his diet consists of deep fry items.",Eating too much saturated fat or trans fats can result in unhealthy cholesterol levels.,"{'question_text': 'What could be the cholesterol level after the change in diet?', 'options': [{'A': 64}, {'B': 67}, {'C': 70}, {'D': 65}], 'value_answer': [70], 'option_answer': ['C'], 'other': {'given_value': 69, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",What could be the cholesterol level after the change in diet?,"[{'A': 64}, {'B': 67}, {'C': 70}, {'D': 65}]",[70],['C'],Sivapriya,"[64, 67, 70]"
1306,non_numericalSG,cube_side,Arthur works in a toy shop. He is pasting 6 equal square shaped stickers on each face of the toy. Each side of this toy is now completely covered by this sticker.,All the sides of a cube are equal.,"{'question_text': 'What could be the shape of the toy?', 'options': [{'A': 'Cube'}, {'B': 'Cylinder'}, {'C': 'Cuboid'}, {'D': 'Cone'}], 'value_answer': ['Cube'], 'option_answer': ['A'], 'other': {}}",What could be the shape of the toy?,"[{'A': 'Cube'}, {'B': 'Cylinder'}, {'C': 'Cuboid'}, {'D': 'Cone'}]",['Cube'],['A'],Sidharth,"[Cube, Cuboid]"
259,attribute_comparison,tallest_knowledge,Matthew's friend lives in the tallest building in the city and it is 93 meters high.,There is nothing taller than the tallest object.,"{'question_text': 'What could be the height of a nearby shop?', 'options': [{'A': 93}, {'B': 95}, {'C': 94}, {'D': 88}, {'E': 'None'}], 'value_answer': [88], 'option_answer': ['D'], 'other': {'given_value': 93, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the height of a nearby shop?,"[{'A': 93}, {'B': 95}, {'C': 94}, {'D': 88}, {'E': 'None'}]",[88],['D'],Kevin,"[93, 94]"
179,attribute_comparison,train_and_walking,Daniel's office is at a large distance from his home. One day Daniel walked and reached in 21 minutes.,Train is a faster way of travelling than walking,"{'question_text': 'Next day Daniel took the train to the office. How much time can it take to reach the office?', 'options': [{'A': 7}, {'B': 19}, {'C': 8}, {'D': 22}, {'E': 'None'}], 'value_answer': [7, 19, 8], 'option_answer': ['A', 'B', 'C'], 'other': {'given_value': 21, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",Next day Daniel took the train to the office. How much time can it take to reach the office?,"[{'A': 7}, {'B': 19}, {'C': 8}, {'D': 22}, {'E': 'None'}]","[7, 19, 8]","['A', 'B', 'C']",Neeraj,"[8, 22]"
